[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.17 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.17
Detected kernel version: 6.17.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] compat_sys_call_table[165]: Symbol("__riscv_compat_sys_getrusage" at 0xffffffff800404e0, type=FUNC, size=0x1a)
[D] compat_sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xffffffff800404fc, type=FUNC, size=0x24)
[D] compat_sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xffffffff80040584, type=FUNC, size=0x85c)
[D] compat_sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xffffffff80040de0, type=FUNC, size=0x1ea)
[D] compat_sys_call_table[169]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[170]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[171]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xffffffff8003f4e0, type=FUNC, size=0x1a)
[D] compat_sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xffffffff8003f518, type=FUNC, size=0x1c)
[D] compat_sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xffffffff8003f534, type=FUNC, size=0x20)
[D] compat_sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xffffffff8003f554, type=FUNC, size=0x20)
[D] compat_sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xffffffff8003f574, type=FUNC, size=0x20)
[D] compat_sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xffffffff8003f594, type=FUNC, size=0x20)
